31327	31101	1	0	实验室科研探究（1）	2015-09-14	2016-01-01	7	6	7
31290	31102	1	0	毛泽东思想和中国特色社会主义理论体系概论	2015-09-14	2016-01-01	7	3	4
28830	31103	1	0	信号与系统分析	2015-09-14	2016-01-01	7	8	9
24908	31104	1	0	心理学概论	2015-09-14	2016-01-01	7	6	7
22517	31105	1	0	经济学原理(2)	2015-09-14	2016-01-01	7	6	7
19714	31106	1	0	物理实验A(2)	2015-09-14	2016-01-01	7	6	7
18674	31107	1	0	无机及分析化学实验B	2015-09-14	2016-01-01	7	10	11
18338	31108	1	0	数学实验	2015-09-14	2016-01-01	7	10	11
18045	31109	1	0	电子电路与系统基础（1）	2015-09-14	2016-01-01	7	3	4
17680	31111	1	0	面向对象程序设计基础	2015-09-14	2016-01-01	7	1	2
17057	31113	1	0	中国近现代史纲要	2015-09-14	2016-01-01	7	1	2
14824	31201	1	0	中级宏观经济学	2015-09-14	2016-01-01	7	8	9
13624	31202	1	0	中级微观经济学	2015-09-14	2016-01-01	7	6	7
13571	31203	1	0	电子电路与系统基础实验	2015-09-14	2016-01-01	7	10	11
12159	31204	1	0	党的知识概论	2015-09-14	2016-01-01	7	3	4
11954	31205	1	0	生物化学(1)(英文)	2015-09-14	2016-01-01	7	10	11
11901	31206	1	0	大学生心理健康	2015-09-14	2016-01-01	7	1	2
11694	31207	1	0	党的知识概论	2015-09-14	2016-01-01	7	1	2
11687	31209	1	0	模式识别	2015-09-14	2016-01-01	7	10	11
11522	31208	1	0	微积分A(2)	2015-09-14	2016-01-01	7	8	9
11455	31211	1	0	学术之道	2015-09-14	2016-01-01	7	8	9
11429	31213	1	0	物理实验B(2)	2015-09-14	2016-01-01	7	1	2
11057	31300	1	0	中级宏观经济学	2015-09-14	2016-01-01	7	1	2
10980	31301	1	0	普通物理(2)	2015-09-14	2016-01-01	7	6	7
10916	31302	1	0	媒体与认知	2015-09-14	2016-01-01	7	6	7
10677	31303	1	0	分子生物学基础实验	2015-09-14	2016-01-01	7	6	7
10505	31304	1	0	大学物理A(1)	2015-09-14	2016-01-01	7	6	7
10450	31305	1	0	道德经与心理健康	2015-09-14	2016-01-01	7	10	11
10383	31306	1	0	数字逻辑与处理器基础实验	2015-09-14	2016-01-01	7	3	4
10342	31307	1	0	计算机程序设计基础（2）	2015-09-14	2016-01-01	7	10	11
10325	31308	1	0	测试与检测技术基础	2015-09-14	2016-01-01	7	3	4
10306	31309	1	0	计算机程序设计基础（2）	2015-09-14	2016-01-01	7	6	7
9969	31311	1	0	材料力学	2015-09-14	2016-01-01	7	3	4
9748	31313	1	0	计算机程序设计基础	2015-09-14	2016-01-01	7	6	7
9568	32101	1	0	发展经济学	2015-09-14	2016-01-01	7	10	11
9498	32102	1	0	系统工程导论	2015-09-14	2016-01-01	7	6	7
9383	32301	1	0	微积分A(2)	2015-09-14	2016-01-01	7	3	4
9329	32302	1	0	数值分析	2015-09-14	2016-01-01	7	1	2
9312	33100	1	0	实验室科研探究（2）	2015-09-14	2016-01-01	7	3	4
9155	33103	1	0	工程计算机制图	2015-09-14	2016-01-01	7	10	11
9118	33104	1	0	民法总论	2015-09-14	2016-01-01	7	1	2
9078	33106	1	0	微积分B(2)	2015-09-14	2016-01-01	7	10	11
9073	33109	1	0	电工与电子技术	2015-09-14	2016-01-01	7	1	2
9063	33110	1	0	微积分A(2)	2015-09-14	2016-01-01	7	3	4
9049	33111	1	0	人工智能导论	2015-09-14	2016-01-01	7	6	7
8984	33113	1	0	计算机程序设计基础	2015-09-14	2016-01-01	7	8	9
8956	33200	1	0	线性代数(2)	2015-09-14	2016-01-01	7	8	9
8647	33201	1	0	线性回归	2015-09-14	2016-01-01	7	1	2
8479	33202	1	0	数字逻辑与处理器基础	2015-09-14	2016-01-01	7	10	11
8418	33203	1	0	计算机系统结构	2015-09-14	2016-01-01	7	6	7
8217	33204	1	0	大学物理B(1)	2015-09-14	2016-01-01	7	6	7
8130	33205	1	0	离散数学(2)	2015-09-14	2016-01-01	7	10	11
8127	33206	1	0	毛泽东思想和中国特色社会主义理论体系概论	2015-09-14	2016-01-01	7	10	11
8099	33207	1	0	数据结构与算法分析	2015-09-14	2016-01-01	7	1	2
8047	33209	1	0	数字逻辑与处理器基础实验	2015-09-14	2016-01-01	7	10	11
8019	33210	1	0	认知的神经生物学基础	2015-09-14	2016-01-01	7	6	7
7976	33211	1	0	毛泽东思想和中国特色社会主义理论体系概论	2015-09-14	2016-01-01	7	3	4
7917	33213	1	0	生物化学基础实验	2015-09-14	2016-01-01	7	6	7
7909	33215	1	0	概率论与应用统计学	2015-09-14	2016-01-01	7	8	9
7874	33300	1	0	环境保护与可持续发展	2015-09-14	2016-01-01	7	1	2
7841	33301	1	0	大学物理B(1)	2015-09-14	2016-01-01	7	8	9
7756	33302	1	0	物理学概论	2015-09-14	2016-01-01	7	10	11
7734	33303	1	0	《庄子》导读	2015-09-14	2016-01-01	7	8	9
7713	33310	1	0	运筹学(1)(确定性方法)	2015-09-14	2016-01-01	7	1	2
7586	33311	1	0	燃烧理论	2015-09-14	2016-01-01	7	10	11
7540	33313	1	0	《老子》与《论语》	2015-09-14	2016-01-01	7	10	11
7530	33315	1	0	货币银行学	2015-09-14	2016-01-01	7	6	7
7446	33407	1	0	毛泽东思想和中国特色社会主义理论体系概论	2015-09-14	2016-01-01	7	8	9
7290	31101	1	0	大学数学(2)(社科类)	2015-09-15	2016-01-01	7	3	4
7251	31102	1	0	电子信息科学与技术导引(1)	2015-09-15	2016-01-01	7	8	9
7235	31103	1	0	物理化学实验B(2)	2015-09-15	2016-01-01	7	10	11
7210	31104	1	0	电工与电子技术	2015-09-15	2016-01-01	7	3	4
7188	31105	1	0	材料力学	2015-09-15	2016-01-01	7	8	9
7130	31106	1	0	固体物理基础	2015-09-15	2016-01-01	7	6	7
7092	31107	1	0	数学实验	2015-09-15	2016-01-01	7	8	9
7050	31108	1	0	大学物理B(1)	2015-09-15	2016-01-01	7	3	4
